date,close,ret_log,y_pred,signal_t,position,strat_ret_log,equity
2010-01-01,26.3,0.0,,1,0,0.0,1.0
2010-01-04,26.3,0.0,,1,1,0.0,1.0
2010-01-05,26.3,0.0,,1,1,0.0,1.0
2010-01-06,26.3,0.0,,1,1,0.0,1.0
2010-01-07,26.3,0.0,,1,1,0.0,1.0
2010-01-08,26.25,-0.001902950146086102,,1,1,-0.001902950146086102,0.9980988593155894
2010-01-11,26.25,0.0,,1,1,0.0,0.9980988593155894
2010-01-12,26.2,-0.0019065782705816048,,1,1,-0.0019065782705816048,0.9961977186311787
2010-01-13,26.2,0.0,,1,1,0.0,0.9961977186311787
2010-01-14,26.15,-0.0019102202561191994,,1,1,-0.0019102202561191994,0.9942965779467681
2010-01-15,26.15,0.0,,1,1,0.0,0.9942965779467681
2010-01-18,26.15,0.0,,0,1,0.0,0.9942965779467681
2010-01-19,26.15,0.0,,-1,0,0.0,0.9942965779467681
2010-01-20,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-01-21,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-01-22,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-01-25,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-01-26,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-01-27,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-01-28,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-01-29,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-02-01,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-02-02,26.1,-0.0019138761822841133,,-1,-1,0.0019138761822841133,0.9962013606631411
2010-02-03,26.1,0.0,,-1,-1,-0.0,0.9962013606631411
2010-02-04,26.2,0.0038240964384033127,,-1,-1,-0.0038240964384033127,0.9923990653934347
2010-02-05,26.15,-0.0019102202561191994,,-1,-1,0.0019102202561191994,0.9942965779467681
2010-02-08,26.15,0.0,,-1,-1,-0.0,0.9942965779467681
2010-02-09,26.6,0.017062025276721737,,0,-1,-0.017062025276721737,0.9774757711769917
2010-02-10,26.15,-0.017062025276721737,,0,0,-0.0,0.9774757711769917
2010-02-11,26.2,0.0019102202561191994,,0,0,0.0,0.9774757711769917
2010-02-12,26.15,-0.0019102202561191994,,0,0,-0.0,0.9774757711769917
2010-02-15,26.15,0.0,,0,0,0.0,0.9774757711769917
2010-02-16,26.15,0.0,,0,0,0.0,0.9774757711769917
2010-02-17,26.15,0.0,,-1,0,0.0,0.9774757711769917
2010-02-18,26.15,0.0,,-1,-1,-0.0,0.9774757711769917
2010-02-19,26.15,0.0,,0,-1,-0.0,0.9774757711769917
2010-02-22,26.15,0.0,,0,0,0.0,0.9774757711769917
2010-02-23,26.15,0.0,,-1,0,0.0,0.9774757711769917
2010-02-24,26.2,0.0019102202561191994,,-1,-1,-0.0019102202561191994,0.9756103593999365
2010-02-25,26.2,0.0,,-1,-1,-0.0,0.9756103593999365
2010-02-26,26.2,0.0,,-1,-1,-0.0,0.9756103593999365
2010-03-01,26.2,0.0,,-1,-1,-0.0,0.9756103593999365
2010-03-02,26.2,0.0,,-1,-1,-0.0,0.9756103593999365
2010-03-03,26.25,0.0019065782705816048,,-1,-1,-0.0019065782705816048,0.9737520539534603
2010-03-04,26.25,0.0,,-1,-1,-0.0,0.9737520539534603
2010-03-05,26.35,0.0038022859497388595,,0,-1,-0.0038022859497388595,0.9700566002382667
2010-03-08,26.4,0.0018957351648989373,,0,0,0.0,0.9700566002382667
2010-03-09,26.4,0.0,,1,0,0.0,0.9700566002382667
2010-03-10,26.4,0.0,,1,1,0.0,0.9700566002382667
2010-03-11,26.4,0.0,,1,1,0.0,0.9700566002382667
2010-03-12,26.6,0.007547205635383136,,1,1,0.007547205635383136,0.9774055138764356
2010-03-15,26.6,0.0,,1,1,0.0,0.9774055138764356
2010-03-16,26.55,-0.0018814680997056854,,1,1,-0.0018814680997056854,0.9755682854668933
2010-03-17,26.5,-0.0018850146957714031,,1,1,-0.0018850146957714031,0.9737310570573511
2010-03-18,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-03-19,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-03-22,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-03-23,26.55,0.0018850146957714031,,1,1,0.0018850146957714031,0.9755682854668933
2010-03-24,26.6,0.0018814680997056854,,1,1,0.0018814680997056854,0.9774055138764356
2010-03-25,26.6,0.0,,1,1,0.0,0.9774055138764356
2010-03-26,26.55,-0.0018814680997056854,,1,1,-0.0018814680997056854,0.9755682854668933
2010-03-29,26.5,-0.0018850146957714031,,1,1,-0.0018850146957714031,0.9737310570573511
2010-03-30,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-03-31,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-04-01,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-04-02,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-04-05,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-04-06,26.5,0.0,,1,1,0.0,0.9737310570573511
2010-04-07,26.6,0.0037664827954770885,,1,1,0.0037664827954770885,0.9774055138764356
2010-04-08,26.55,-0.0018814680997056854,,1,1,-0.0018814680997056854,0.9755682854668933
2010-04-09,26.6,0.0018814680997056854,,1,1,0.0018814680997056854,0.9774055138764356
2010-04-12,26.6,0.0,,1,1,0.0,0.9774055138764356
2010-04-13,26.6,0.0,,1,1,0.0,0.9774055138764356
2010-04-14,26.6,0.0,,1,1,0.0,0.9774055138764356
2010-04-15,26.8,0.007490671729157405,,1,1,0.007490671729157405,0.9847544275146041
2010-04-16,26.8,0.0,,1,1,0.0,0.9847544275146041
2010-04-19,26.8,0.0,,1,1,0.0,0.9847544275146041
2010-04-20,26.8,0.0,,1,1,0.0,0.9847544275146041
2010-04-21,26.8,0.0,,1,1,0.0,0.9847544275146041
2010-04-22,26.8,0.0,,1,1,0.0,0.9847544275146041
2010-04-23,26.8,0.0,,1,1,0.0,0.9847544275146041
2010-04-26,26.8,0.0,,1,1,0.0,0.9847544275146041
2010-04-27,26.85,0.0018639334380625705,,1,1,0.0018639334380625705,0.9865916559241461
2010-04-28,26.9,0.0018604656529195296,,1,1,0.0018604656529195296,0.9884288843336881
2010-04-29,26.95,0.001857010747213117,,1,1,0.001857010747213117,0.9902661127432306
2010-04-30,26.95,0.0,,1,1,0.0,0.9902661127432306
2010-05-03,26.95,0.0,,1,1,0.0,0.9902661127432306
2010-05-04,27.1,0.005550430530648853,,1,1,0.005550430530648853,0.995777797971857
2010-05-05,27.1,0.0,,1,1,0.0,0.995777797971857
2010-05-06,27.1,0.0,,1,1,0.0,0.995777797971857
2010-05-07,27.1,0.0,,1,1,0.0,0.995777797971857
2010-05-10,27.1,0.0,,1,1,0.0,0.995777797971857
2010-05-11,27.1,0.0,,1,1,0.0,0.995777797971857
2010-05-12,27.15,0.0018433184942892034,,1,1,0.0018433184942892034,0.9976150263813991
2010-05-13,27.15,0.0,,1,1,0.0,0.9976150263813991
2010-05-14,27.15,0.0,,1,1,0.0,0.9976150263813991
2010-05-17,27.3,0.00550965581096996,,1,1,0.00550965581096996,1.003126711610026
2010-05-18,27.3,0.0,,1,1,0.0,1.003126711610026
2010-05-19,27.3,0.0,,1,1,0.0,1.003126711610026
2010-05-20,27.4,0.003656311203110274,,1,1,0.003656311203110274,1.00680116842911
2010-05-21,27.4,0.0,,1,1,0.0,1.00680116842911
2010-05-24,27.4,0.0,,1,1,0.0,1.00680116842911
2010-05-25,27.4,0.0,,1,1,0.0,1.00680116842911
2010-05-26,27.4,0.0,,1,1,0.0,1.00680116842911
2010-05-27,27.5,0.0036429912785012064,,1,1,0.0036429912785012064,1.0104756252481946
2010-05-28,27.5,0.0,,1,1,0.0,1.0104756252481946
2010-05-31,27.5,0.0,,1,1,0.0,1.0104756252481946
2010-06-01,27.5,0.0,,1,1,0.0,1.0104756252481946
2010-06-02,27.5,0.0,,1,1,0.0,1.0104756252481946
2010-06-03,27.5,0.0,,1,1,0.0,1.0104756252481946
2010-06-04,27.6,0.0036297680505787966,,1,1,0.0036297680505787966,1.014150082067279
2010-06-07,27.5,-0.0036297680505787966,,1,1,-0.0036297680505787966,1.0104756252481946
2010-06-08,27.5,0.0,,1,1,0.0,1.0104756252481946
2010-06-09,27.55,0.0018165309263977747,,1,1,0.0018165309263977747,1.0123128536577366
2010-06-10,27.6,0.001813237124181022,,1,1,0.001813237124181022,1.014150082067279
2010-06-11,27.6,0.0,,1,1,0.0,1.014150082067279
2010-06-14,27.6,0.0,,1,1,0.0,1.014150082067279
2010-06-15,27.6,0.0,,1,1,0.0,1.014150082067279
2010-06-16,27.75,0.005420067469338985,,1,1,0.005420067469338985,1.0196617672959054
2010-06-17,27.85,0.003597126180849397,,1,1,0.003597126180849397,1.0233362241149895
2010-06-18,27.8,-0.0017969456767015224,,1,1,-0.0017969456767015224,1.0214989957054474
2010-06-21,27.95,0.005381178904516837,,1,1,0.005381178904516837,1.027010680934074
2010-06-22,28.0,0.0017873105740955353,,1,1,0.0017873105740955353,1.028847909343616
2010-06-23,28.0,0.0,,1,1,0.0,1.028847909343616
2010-06-24,28.0,0.0,,1,1,0.0,1.028847909343616
2010-06-25,28.1,0.0035650661644961446,,1,1,0.0035650661644961446,1.0325223661627003
2010-06-28,28.15,0.0017777782459993396,,1,1,0.0017777782459993396,1.0343595945722426
2010-06-29,28.4,0.008841790581461062,,1,1,0.008841790581461062,1.0435457366199534
2010-06-30,28.45,0.0017590154051796425,,1,1,0.0017590154051796425,1.0453829650294957
2010-07-01,28.45,0.0,,1,1,0.0,1.0453829650294957
2010-07-02,28.45,0.0,,1,1,0.0,1.0453829650294957
2010-07-05,28.45,0.0,,1,1,0.0,1.0453829650294957
2010-07-06,28.6,0.005258557253466911,,1,1,0.005258557253466911,1.0508946502581222
2010-07-07,28.4,-0.007017572658646554,,1,1,-0.007017572658646554,1.0435457366199534
2010-07-08,28.6,0.007017572658646554,,1,1,0.007017572658646554,1.0508946502581222
2010-07-09,28.4,-0.007017572658646554,,1,1,-0.007017572658646554,1.0435457366199534
2010-07-12,28.4,0.0,,1,1,0.0,1.0435457366199534
2010-07-13,28.35,-0.0017621149933990665,,1,1,-0.0017621149933990665,1.0417085082104116
2010-07-14,28.4,0.0017621149933990665,,1,1,0.0017621149933990665,1.0435457366199534
2010-07-15,28.5,0.0035149421074445186,,1,1,0.0035149421074445186,1.047220193439038
2010-07-16,28.5,0.0,,1,1,0.0,1.047220193439038
2010-07-19,28.5,0.0,,1,1,0.0,1.047220193439038
2010-07-20,28.5,0.0,,1,1,0.0,1.047220193439038
2010-07-21,28.5,0.0,,1,1,0.0,1.047220193439038
2010-07-22,28.5,0.0,,1,1,0.0,1.047220193439038
2010-07-23,28.4,-0.0035149421074445186,,1,1,-0.0035149421074445186,1.0435457366199534
2010-07-26,28.4,0.0,,1,1,0.0,1.0435457366199534
2010-07-27,28.4,0.0,,1,1,0.0,1.0435457366199534
2010-07-28,28.6,0.007017572658646554,,1,1,0.007017572658646554,1.0508946502581222
2010-07-29,28.6,0.0,,1,1,0.0,1.0508946502581222
2010-07-30,28.6,0.0,,1,1,0.0,1.0508946502581222
2010-08-02,28.6,0.0,,1,1,0.0,1.0508946502581222
2010-08-03,28.7,0.0034904049397685988,,1,1,0.0034904049397685988,1.0545691070772065
2010-08-04,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-05,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-06,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-09,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-10,28.8,0.0034782643763247023,,1,1,0.0034782643763247023,1.0582435638962908
2010-08-11,28.75,-0.0017376198985408209,,1,1,-0.0017376198985408209,1.0564063354867486
2010-08-12,28.6,-0.00523104941755248,,1,1,-0.00523104941755248,1.0508946502581222
2010-08-13,28.6,0.0,,1,1,0.0,1.0508946502581222
2010-08-16,28.7,0.0034904049397685988,,1,1,0.0034904049397685988,1.0545691070772065
2010-08-17,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-18,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-19,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-20,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-23,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-24,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-25,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-26,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-27,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-30,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-08-31,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-01,28.8,0.0034782643763247023,,1,1,0.0034782643763247023,1.0582435638962908
2010-09-02,28.8,0.0,,1,1,0.0,1.0582435638962908
2010-09-03,28.7,-0.0034782643763247023,,1,1,-0.0034782643763247023,1.0545691070772065
2010-09-06,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-07,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-08,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-09,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-10,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-13,28.6,-0.0034904049397685988,,1,1,-0.0034904049397685988,1.0508946502581222
2010-09-14,28.6,0.0,,1,1,0.0,1.0508946502581222
2010-09-15,28.7,0.0034904049397685988,,1,1,0.0034904049397685988,1.0545691070772065
2010-09-16,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-17,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-20,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-21,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-22,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-23,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-24,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-27,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-28,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-29,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-09-30,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-01,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-04,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-05,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-06,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-07,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-08,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-11,28.7,0.0,,1,1,0.0,1.0545691070772065
2010-10-12,28.5,-0.006993035490970634,,0,1,-0.006993035490970634,1.047220193439038
2010-10-13,28.3,-0.0070422826254130655,,-1,0,-0.0,1.047220193439038
2010-10-14,28.3,0.0,,-1,-1,-0.0,1.047220193439038
2010-10-15,28.35,0.0017652255245694803,,-1,-1,-0.0017652255245694803,1.0453732442442596
2010-10-18,28.4,0.0017621149933990665,,-1,-1,-0.0017621149933990665,1.043532798391717
2010-10-19,28.4,0.0,,-1,-1,-0.0,1.043532798391717
2010-10-20,28.3,-0.003527340517968547,,-1,-1,0.003527340517968547,1.047220193439038
2010-10-21,28.35,0.0017652255245694803,,-1,-1,-0.0017652255245694803,1.0453732442442596
2010-10-22,28.35,0.0,,-1,-1,-0.0,1.0453732442442596
2010-10-25,28.5,0.005277057100843585,,-1,-1,-0.005277057100843585,1.0398712798008691
2010-10-26,28.4,-0.0035149421074445186,,-1,-1,0.0035149421074445186,1.043532798391717
2010-10-27,28.45,0.0017590154051796425,,-1,-1,-0.0017590154051796425,1.0416988215931378
2010-10-28,28.45,0.0,,-1,-1,-0.0,1.0416988215931378
2010-10-29,28.5,0.0017559267022648761,,-1,-1,-0.0017559267022648761,1.0398712798008691
2010-11-01,28.5,0.0,,-1,-1,-0.0,1.0398712798008691
2010-11-02,28.4,-0.0035149421074445186,,-1,-1,0.0035149421074445186,1.043532798391717
2010-11-03,28.45,0.0017590154051796425,,-1,-1,-0.0017590154051796425,1.0416988215931378
2010-11-04,28.5,0.0017559267022648761,,-1,-1,-0.0017559267022648761,1.0398712798008691
2010-11-05,28.45,-0.0017559267022648761,,-1,-1,0.0017559267022648761,1.0416988215931378
2010-11-08,28.2,-0.008826182628272061,,-1,-1,0.008826182628272061,1.0509337402242824
2010-11-09,27.9,-0.010695289116747997,,-1,-1,0.010695289116747997,1.0622341030223932
2010-11-10,27.8,-0.0035906681307285027,,-1,-1,0.0035906681307285027,1.066055089004488
2010-11-11,27.8,0.0,,-1,-1,-0.0,1.066055089004488
2010-11-12,27.8,0.0,,-1,-1,-0.0,1.066055089004488
2010-11-15,27.8,0.0,,-1,-1,-0.0,1.066055089004488
2010-11-16,27.9,0.0035906681307285027,,-1,-1,-0.0035906681307285027,1.0622341030223932
2010-11-17,27.9,0.0,,-1,-1,-0.0,1.0622341030223932
2010-11-18,28.0,0.0035778213478838694,,-1,-1,-0.0035778213478838694,1.0584404097973132
2010-11-19,28.0,0.0,,-1,-1,-0.0,1.0584404097973132
2010-11-22,28.0,0.0,,-1,-1,-0.0,1.0584404097973132
2010-11-23,27.9,-0.0035778213478838694,,-1,-1,0.0035778213478838694,1.0622341030223932
2010-11-24,28.1,0.007142887512380014,,-1,-1,-0.007142887512380014,1.0546737179475008
2010-11-25,28.1,0.0,,-1,-1,-0.0,1.0546737179475008
2010-11-26,28.1,0.0,,-1,-1,-0.0,1.0546737179475008
2010-11-29,28.1,0.0,,-1,-1,-0.0,1.0546737179475008
2010-11-30,28.2,0.003552401604367983,,-1,-1,-0.003552401604367983,1.0509337402242824
2010-12-01,28.1,-0.003552401604367983,,-1,-1,0.003552401604367983,1.0546737179475008
2010-12-02,28.15,0.0017777782459993396,,-1,-1,-0.0017777782459993396,1.0528004076136686
2010-12-03,28.15,0.0,,-1,-1,-0.0,1.0528004076136686
2010-12-06,28.15,0.0,,-1,-1,-0.0,1.0528004076136686
2010-12-07,28.15,0.0,,-1,-1,-0.0,1.0528004076136686
2010-12-08,28.5,0.01235673268890558,,-1,-1,-0.01235673268890558,1.0398712798008691
2010-12-09,28.45,-0.0017559267022648761,,-1,-1,0.0017559267022648761,1.0416988215931378
2010-12-10,28.5,0.0017559267022648761,,-1,-1,-0.0017559267022648761,1.0398712798008691
2010-12-13,28.55,0.0017528488274143328,,0,-1,-0.0017528488274143328,1.0380501392057713
2010-12-14,28.15,-0.014109581516319913,,0,0,-0.0,1.0380501392057713
2010-12-15,28.15,0.0,,0,0,0.0,1.0380501392057713
2010-12-16,28.15,0.0,,0,0,0.0,1.0380501392057713
2010-12-17,28.2,0.0017746233583686433,,0,0,0.0,1.0380501392057713
2010-12-20,28.15,-0.0017746233583686433,,0,0,-0.0,1.0380501392057713
2010-12-21,28.15,0.0,,0,0,0.0,1.0380501392057713
2010-12-22,28.15,0.0,,0,0,0.0,1.0380501392057713
2010-12-23,28.3,0.005314450063492515,,0,0,0.0,1.0380501392057713
2010-12-24,28.3,0.0,,0,0,0.0,1.0380501392057713
2010-12-27,28.3,0.0,,-1,0,0.0,1.0380501392057713
2010-12-28,28.3,0.0,,0,-1,-0.0,1.0380501392057713
2010-12-29,28.3,0.0,,0,0,0.0,1.0380501392057713
2010-12-30,28.3,0.0,,0,0,0.0,1.0380501392057713
2010-12-31,28.3,0.0,,0,0,0.0,1.0380501392057713
2011-01-03,28.3,0.0,,0,0,0.0,1.0380501392057713
2011-01-04,28.35,0.0017652255245694803,,0,0,0.0,1.0380501392057713
2011-01-05,28.3,-0.0017652255245694803,,0,0,-0.0,1.0380501392057713
2011-01-06,28.2,-0.003539826705123872,,0,0,-0.0,1.0380501392057713
2011-01-07,28.2,0.0,,0,0,0.0,1.0380501392057713
2011-01-10,28.4,0.007067167223092419,,0,0,0.0,1.0380501392057713
